Walt Disney's Enchanted Tiki Room,9
Pirates of the Caribbean,22
Tiana's Bayou Adventure,90
Big Thunder Mountain Railroad,37
The Hall of Presidents,0
Haunted Mansion,33
Mickey's PhilharMagic,15
Peter Pan's Flight,40
It's a Small World,20
Seven Dwarfs Mine Train,61
Tomorrowland Speedway,18
Space Mountain,48
Astro Orbiter,26
Tomorrowland Transit Authority PeopleMover,10
Walt Disney's Carousel of Progress,5
Buzz Lightyear's Space Ranger Spin,28
Country Bear Musical Jamboree,13
The Many Adventures of Winnie the Pooh,31
TRON Lightcycle Run,50
Monsters Inc. Laugh Floor,10
